"t","Scenario","Demand"
2022,"Ambitious-Baseline-Baseline-Baseline-Baseline",113.550823941013
2022,"Ambitious-Baseline-Baseline-Baseline-Enhanced SSPS",113.531791987209
2022,"Ambitious-Baseline-Baseline-Baseline-Enhanced recycling",113.564800818689
2022,"Ambitious-Baseline-Baseline-Baseline-USA Recycling",113.550823941013
2022,"Ambitious-Baseline-High Capacity-Baseline-Baseline",113.550823941013
2022,"Ambitious-Baseline-Low Capacity-Baseline-Baseline",113.550823941013
2022,"Ambitious-Baseline-Low Capacity-Baseline-Recycling Medium",113.564800818689
2022,"Ambitious-Double LFP-Baseline-Baseline-Baseline",113.550823941013
2022,"Ambitious-Double NMC 811-Baseline-Baseline-Baseline",113.550823941013
2022,"Ambitious-Sodium Battery adoption-Baseline-Baseline-Baseline",113.550823941013
2022,"Ambitious-Solid State adoption-Baseline-Baseline-Baseline",113.550823941013
2023,"Ambitious-Baseline-Baseline-Baseline-Baseline",138.024420049871
2023,"Ambitious-Baseline-Baseline-Baseline-Enhanced SSPS",138.056536442512
2023,"Ambitious-Baseline-Baseline-Baseline-Enhanced recycling",137.946134264611
2023,"Ambitious-Baseline-Baseline-Baseline-USA Recycling",138.007918333856
2023,"Ambitious-Baseline-High Capacity-Baseline-Baseline",141.878870686467
2023,"Ambitious-Baseline-Low Capacity-Baseline-Baseline",135.968360337779
2023,"Ambitious-Baseline-Low Capacity-Baseline-Recycling Medium",135.890031505465
2023,"Ambitious-Double LFP-Baseline-Baseline-Baseline",137.664381110462
2023,"Ambitious-Double NMC 811-Baseline-Baseline-Baseline",137.958125196953
2023,"Ambitious-Sodium Battery adoption-Baseline-Baseline-Baseline",138.024420049871
2023,"Ambitious-Solid State adoption-Baseline-Baseline-Baseline",138.024420049871
2024,"Ambitious-Baseline-Baseline-Baseline-Baseline",179.687226938588
2024,"Ambitious-Baseline-Baseline-Baseline-Enhanced SSPS",179.710981094394
2024,"Ambitious-Baseline-Baseline-Baseline-Enhanced recycling",179.451592380328
2024,"Ambitious-Baseline-Baseline-Baseline-USA Recycling",179.620896490268
2024,"Ambitious-Baseline-High Capacity-Baseline-Baseline",189.361065991712
2024,"Ambitious-Baseline-Low Capacity-Baseline-Baseline",174.113780110164
2024,"Ambitious-Baseline-Low Capacity-Baseline-Recycling Medium",173.880530895963
2024,"Ambitious-Double LFP-Baseline-Baseline-Baseline",179.026082160003
2024,"Ambitious-Double NMC 811-Baseline-Baseline-Baseline",179.512022315573
2024,"Ambitious-Sodium Battery adoption-Baseline-Baseline-Baseline",179.687226938588
2024,"Ambitious-Solid State adoption-Baseline-Baseline-Baseline",179.687226938588
2025,"Ambitious-Baseline-Baseline-Baseline-Baseline",239.101926078386
2025,"Ambitious-Baseline-Baseline-Baseline-Enhanced SSPS",239.154854901886
2025,"Ambitious-Baseline-Baseline-Baseline-Enhanced recycling",238.515946401825
2025,"Ambitious-Baseline-Baseline-Baseline-USA Recycling",238.911443196891
2025,"Ambitious-Baseline-High Capacity-Baseline-Baseline",259.714877175785
2025,"Ambitious-Baseline-Low Capacity-Baseline-Baseline",227.303615602586
2025,"Ambitious-Baseline-Low Capacity-Baseline-Recycling Medium",226.735239201811
2025,"Ambitious-Double LFP-Baseline-Baseline-Baseline",238.019913784348
2025,"Ambitious-Double NMC 811-Baseline-Baseline-Baseline",238.741553103473
2025,"Ambitious-Sodium Battery adoption-Baseline-Baseline-Baseline",239.101926078386
2025,"Ambitious-Solid State adoption-Baseline-Baseline-Baseline",239.101926078386
2026,"Ambitious-Baseline-Baseline-Baseline-Baseline",299.290930157311
2026,"Ambitious-Baseline-Baseline-Baseline-Enhanced SSPS",299.387278771549
2026,"Ambitious-Baseline-Baseline-Baseline-Enhanced recycling",298.052975585325
2026,"Ambitious-Baseline-Baseline-Baseline-USA Recycling",298.868384839863
2026,"Ambitious-Baseline-High Capacity-Baseline-Baseline",334.594087720179
2026,"Ambitious-Baseline-Low Capacity-Baseline-Baseline",278.40971045704
2026,"Ambitious-Baseline-Low Capacity-Baseline-Recycling Medium",277.232136620439
2026,"Ambitious-Double LFP-Baseline-Baseline-Baseline",297.712923109545
2026,"Ambitious-Double NMC 811-Baseline-Baseline-Baseline",298.791091664767
2026,"Ambitious-Sodium Battery adoption-Baseline-Baseline-Baseline",299.290930157311
2026,"Ambitious-Solid State adoption-Baseline-Baseline-Baseline",299.290930157311
