"t","Region","Scenario","Demand"
2022,"ASEAN","Ambitious-Baseline-Baseline-Baseline-Baseline",1959.49434007689
2022,"ASEAN","Ambitious-Baseline-Baseline-Baseline-Enhanced SSPS",1959.40767611044
2022,"ASEAN","Ambitious-Baseline-Baseline-Baseline-Enhanced recycling",1959.58100404333
2022,"ASEAN","Ambitious-Baseline-Baseline-Baseline-USA Recycling",1959.49434007689
2022,"ASEAN","Ambitious-Baseline-High Capacity-Baseline-Baseline",1959.49434007689
2022,"ASEAN","Ambitious-Baseline-Low Capacity-Baseline-Baseline",1959.49434007689
2022,"ASEAN","Ambitious-Baseline-Low Capacity-Baseline-Recycling Medium",1959.58100404333
2022,"ASEAN","Ambitious-Double LFP-Baseline-Baseline-Baseline",1959.49434007689
2022,"ASEAN","Ambitious-Double NMC 811-Baseline-Baseline-Baseline",1959.49434007689
2022,"ASEAN","Ambitious-Sodium Battery adoption-Baseline-Baseline-Baseline",1959.49434007689
2022,"ASEAN","Ambitious-Solid State adoption-Baseline-Baseline-Baseline",1959.49434007689
2022,"Africa","Ambitious-Baseline-Baseline-Baseline-Baseline",2099.41074773686
2022,"Africa","Ambitious-Baseline-Baseline-Baseline-Enhanced SSPS",2099.39938960676
2022,"Africa","Ambitious-Baseline-Baseline-Baseline-Enhanced recycling",2099.42210586697
2022,"Africa","Ambitious-Baseline-Baseline-Baseline-USA Recycling",2099.41074773686
2022,"Africa","Ambitious-Baseline-High Capacity-Baseline-Baseline",2099.41074773686
2022,"Africa","Ambitious-Baseline-Low Capacity-Baseline-Baseline",2099.41074773686
2022,"Africa","Ambitious-Baseline-Low Capacity-Baseline-Recycling Medium",2099.42210586697
2022,"Africa","Ambitious-Double LFP-Baseline-Baseline-Baseline",2099.41074773686
2022,"Africa","Ambitious-Double NMC 811-Baseline-Baseline-Baseline",2099.41074773686
2022,"Africa","Ambitious-Sodium Battery adoption-Baseline-Baseline-Baseline",2099.41074773686
2022,"Africa","Ambitious-Solid State adoption-Baseline-Baseline-Baseline",2099.41074773686
2022,"Australia/NZ","Ambitious-Baseline-Baseline-Baseline-Baseline",1043.83628424509
2022,"Australia/NZ","Ambitious-Baseline-Baseline-Baseline-Enhanced SSPS",1043.77706328488
2022,"Australia/NZ","Ambitious-Baseline-Baseline-Baseline-Enhanced recycling",1043.89550520531
