"Scenario","Region","t","Recycling"
"Ambitious-Baseline-Baseline-Baseline-Baseline","ASEAN",2023,0.00126673413796578
"Ambitious-Baseline-Baseline-Baseline-Baseline","ASEAN",2024,0.00219525392970782
"Ambitious-Baseline-Baseline-Baseline-Baseline","ASEAN",2025,0.00339734948977838
"Ambitious-Baseline-Baseline-Baseline-Baseline","ASEAN",2026,0.00532882615463038
"Ambitious-Baseline-Baseline-Baseline-Baseline","ASEAN",2027,0.00871614884415967
"Ambitious-Baseline-Baseline-Baseline-Baseline","ASEAN",2028,0.0145424353895785
"Ambitious-Baseline-Baseline-Baseline-Baseline","ASEAN",2029,0.024741455829289
"Ambitious-Baseline-Baseline-Baseline-Baseline","ASEAN",2030,0.04238269015761
"Ambitious-Baseline-Baseline-Baseline-Baseline","ASEAN",2031,0.0745722542745193
"Ambitious-Baseline-Baseline-Baseline-Baseline","ASEAN",2032,0.102514960813813
"Ambitious-Baseline-Baseline-Baseline-Baseline","ASEAN",2033,0.139633357357045
"Ambitious-Baseline-Baseline-Baseline-Baseline","ASEAN",2034,0.188960605949143
"Ambitious-Baseline-Baseline-Baseline-Baseline","ASEAN",2035,0.255129389884527
"Ambitious-Baseline-Baseline-Baseline-Baseline","ASEAN",2036,0.339500601604884
"Ambitious-Baseline-Baseline-Baseline-Baseline","ASEAN",2037,0.441042866387637
"Ambitious-Baseline-Baseline-Baseline-Baseline","ASEAN",2038,0.567938943636163
"Ambitious-Baseline-Baseline-Baseline-Baseline","ASEAN",2039,0.72255681478489
"Ambitious-Baseline-Baseline-Baseline-Baseline","ASEAN",2040,0.908765386006495
"Ambitious-Baseline-Baseline-Baseline-Baseline","ASEAN",2041,1.13656341908476
"Ambitious-Baseline-Baseline-Baseline-Baseline","ASEAN",2042,1.39462592953849
"Ambitious-Baseline-Baseline-Baseline-Baseline","ASEAN",2043,1.69190246294825
"Ambitious-Baseline-Baseline-Baseline-Baseline","ASEAN",2044,2.02607241100862
"Ambitious-Baseline-Baseline-Baseline-Baseline","ASEAN",2045,2.39102356646281
"Ambitious-Baseline-Baseline-Baseline-Baseline","ASEAN",2046,2.77987992978287
"Ambitious-Baseline-Baseline-Baseline-Baseline","ASEAN",2047,3.19163503034138
"Ambitious-Baseline-Baseline-Baseline-Baseline","ASEAN",2048,3.61340961219336
"Ambitious-Baseline-Baseline-Baseline-Baseline","ASEAN",2049,4.0463751455003
"Ambitious-Baseline-Baseline-Baseline-Baseline","ASEAN",2050,4.48655081125059
"Ambitious-Baseline-Baseline-Baseline-Baseline","ASEAN",2051,4.92529906974144
"Ambitious-Baseline-Baseline-Baseline-Baseline","ASEAN",2052,5.36517870222988
"Ambitious-Baseline-Baseline-Baseline-Baseline","ASEAN",2053,5.80783053938464
"Ambitious-Baseline-Baseline-Baseline-Baseline","ASEAN",2054,6.24165197981388
"Ambitious-Baseline-Baseline-Baseline-Baseline","ASEAN",2055,6.66585792973439
"Ambitious-Baseline-Baseline-Baseline-Baseline","ASEAN",2056,7.07806688166594
"Ambitious-Baseline-Baseline-Baseline-Baseline","ASEAN",2057,7.47143841654598
"Ambitious-Baseline-Baseline-Baseline-Baseline","ASEAN",2058,7.84272843236493
"Ambitious-Baseline-Baseline-Baseline-Baseline","ASEAN",2059,8.19036787964529
"Ambitious-Baseline-Baseline-Baseline-Baseline","ASEAN",2060,8.51319751534466
"Ambitious-Baseline-Baseline-Baseline-Baseline","ASEAN",2061,8.81119343503749
"Ambitious-Baseline-Baseline-Baseline-Baseline","ASEAN",2062,9.08488751101908
"Ambitious-Baseline-Baseline-Baseline-Baseline","ASEAN",2063,9.33425907247434
"Ambitious-Baseline-Baseline-Baseline-Baseline","ASEAN",2064,9.56011800023921
"Ambitious-Baseline-Baseline-Baseline-Baseline","ASEAN",2065,9.76350380866638
"Ambitious-Baseline-Baseline-Baseline-Baseline","ASEAN",2066,9.94568534587038
"Ambitious-Baseline-Baseline-Baseline-Baseline","ASEAN",2067,10.1093701047892
"Ambitious-Baseline-Baseline-Baseline-Baseline","ASEAN",2068,10.2573887645182
"Ambitious-Baseline-Baseline-Baseline-Baseline","ASEAN",2069,10.3926867078255
