"variable","t","value","Scen_r","Scenario","name"
"demand_unmet",2022,0,"Hyperbolic r0.03","Ambitious-Baseline-Baseline-Baseline-Baseline","(1) Reference"
"demand_unmet",2023,0,"Hyperbolic r0.03","Ambitious-Baseline-Baseline-Baseline-Baseline","(1) Reference"
"demand_unmet",2024,0,"Hyperbolic r0.03","Ambitious-Baseline-Baseline-Baseline-Baseline","(1) Reference"
"demand_unmet",2025,0,"Hyperbolic r0.03","Ambitious-Baseline-Baseline-Baseline-Baseline","(1) Reference"
"demand_unmet",2026,0,"Hyperbolic r0.03","Ambitious-Baseline-Baseline-Baseline-Baseline","(1) Reference"
"demand_unmet",2027,0,"Hyperbolic r0.03","Ambitious-Baseline-Baseline-Baseline-Baseline","(1) Reference"
"demand_unmet",2028,0,"Hyperbolic r0.03","Ambitious-Baseline-Baseline-Baseline-Baseline","(1) Reference"
"demand_unmet",2029,0,"Hyperbolic r0.03","Ambitious-Baseline-Baseline-Baseline-Baseline","(1) Reference"
"demand_unmet",2030,0,"Hyperbolic r0.03","Ambitious-Baseline-Baseline-Baseline-Baseline","(1) Reference"
"demand_unmet",2031,0,"Hyperbolic r0.03","Ambitious-Baseline-Baseline-Baseline-Baseline","(1) Reference"
"demand_unmet",2032,0,"Hyperbolic r0.03","Ambitious-Baseline-Baseline-Baseline-Baseline","(1) Reference"
"demand_unmet",2033,0,"Hyperbolic r0.03","Ambitious-Baseline-Baseline-Baseline-Baseline","(1) Reference"
"demand_unmet",2034,0,"Hyperbolic r0.03","Ambitious-Baseline-Baseline-Baseline-Baseline","(1) Reference"
"demand_unmet",2035,0,"Hyperbolic r0.03","Ambitious-Baseline-Baseline-Baseline-Baseline","(1) Reference"
"demand_unmet",2036,0,"Hyperbolic r0.03","Ambitious-Baseline-Baseline-Baseline-Baseline","(1) Reference"
"demand_unmet",2037,0,"Hyperbolic r0.03","Ambitious-Baseline-Baseline-Baseline-Baseline","(1) Reference"
"demand_unmet",2038,0,"Hyperbolic r0.03","Ambitious-Baseline-Baseline-Baseline-Baseline","(1) Reference"
"demand_unmet",2039,0,"Hyperbolic r0.03","Ambitious-Baseline-Baseline-Baseline-Baseline","(1) Reference"
"demand_unmet",2040,0,"Hyperbolic r0.03","Ambitious-Baseline-Baseline-Baseline-Baseline","(1) Reference"
"demand_unmet",2041,0,"Hyperbolic r0.03","Ambitious-Baseline-Baseline-Baseline-Baseline","(1) Reference"
"demand_unmet",2042,0,"Hyperbolic r0.03","Ambitious-Baseline-Baseline-Baseline-Baseline","(1) Reference"
"demand_unmet",2043,0,"Hyperbolic r0.03","Ambitious-Baseline-Baseline-Baseline-Baseline","(1) Reference"
"demand_unmet",2044,0,"Hyperbolic r0.03","Ambitious-Baseline-Baseline-Baseline-Baseline","(1) Reference"
"demand_unmet",2045,0,"Hyperbolic r0.03","Ambitious-Baseline-Baseline-Baseline-Baseline","(1) Reference"
"demand_unmet",2046,0,"Hyperbolic r0.03","Ambitious-Baseline-Baseline-Baseline-Baseline","(1) Reference"
"demand_unmet",2047,0,"Hyperbolic r0.03","Ambitious-Baseline-Baseline-Baseline-Baseline","(1) Reference"
"demand_unmet",2048,0,"Hyperbolic r0.03","Ambitious-Baseline-Baseline-Baseline-Baseline","(1) Reference"
"demand_unmet",2049,0,"Hyperbolic r0.03","Ambitious-Baseline-Baseline-Baseline-Baseline","(1) Reference"
"demand_unmet",2050,0,"Hyperbolic r0.03","Ambitious-Baseline-Baseline-Baseline-Baseline","(1) Reference"
"demand_unmet",2051,0,"Hyperbolic r0.03","Ambitious-Baseline-Baseline-Baseline-Baseline","(1) Reference"
"demand_unmet",2052,0,"Hyperbolic r0.03","Ambitious-Baseline-Baseline-Baseline-Baseline","(1) Reference"
"demand_unmet",2053,0,"Hyperbolic r0.03","Ambitious-Baseline-Baseline-Baseline-Baseline","(1) Reference"
"demand_unmet",2054,0,"Hyperbolic r0.03","Ambitious-Baseline-Baseline-Baseline-Baseline","(1) Reference"
"demand_unmet",2055,0,"Hyperbolic r0.03","Ambitious-Baseline-Baseline-Baseline-Baseline","(1) Reference"
"demand_unmet",2056,0,"Hyperbolic r0.03","Ambitious-Baseline-Baseline-Baseline-Baseline","(1) Reference"
"demand_unmet",2057,0,"Hyperbolic r0.03","Ambitious-Baseline-Baseline-Baseline-Baseline","(1) Reference"
"demand_unmet",2058,0,"Hyperbolic r0.03","Ambitious-Baseline-Baseline-Baseline-Baseline","(1) Reference"
"demand_unmet",2059,0,"Hyperbolic r0.03","Ambitious-Baseline-Baseline-Baseline-Baseline","(1) Reference"
"demand_unmet",2060,0,"Hyperbolic r0.03","Ambitious-Baseline-Baseline-Baseline-Baseline","(1) Reference"
"demand_unmet",2061,0,"Hyperbolic r0.03","Ambitious-Baseline-Baseline-Baseline-Baseline","(1) Reference"
"demand_unmet",2062,0,"Hyperbolic r0.03","Ambitious-Baseline-Baseline-Baseline-Baseline","(1) Reference"
"demand_unmet",2063,0,"Hyperbolic r0.03","Ambitious-Baseline-Baseline-Baseline-Baseline","(1) Reference"
"demand_unmet",2064,0,"Hyperbolic r0.03","Ambitious-Baseline-Baseline-Baseline-Baseline","(1) Reference"
"demand_unmet",2065,0,"Hyperbolic r0.03","Ambitious-Baseline-Baseline-Baseline-Baseline","(1) Reference"
"demand_unmet",2066,0,"Hyperbolic r0.03","Ambitious-Baseline-Baseline-Baseline-Baseline","(1) Reference"
"demand_unmet",2067,0,"Hyperbolic r0.03","Ambitious-Baseline-Baseline-Baseline-Baseline","(1) Reference"
"demand_unmet",2068,11.4761766145005,"Hyperbolic r0.03","Ambitious-Baseline-Baseline-Baseline-Baseline","(1) Reference"
"demand_unmet",2069,36.8563208401473,"Hyperbolic r0.03","Ambitious-Baseline-Baseline-Baseline-Baseline","(1) Reference"
"demand_unmet",2070,80.0557765583831,"Hyperbolic r0.03","Ambitious-Baseline-Baseline-Baseline-Baseline","(1) Reference"
"demand_unmet",2022,0,"Hyperbolic r0.03","Ambitious-Baseline-Baseline-Baseline-Enhanced recycling","(9) Enhanced Recycling"
"demand_unmet",2023,0,"Hyperbolic r0.03","Ambitious-Baseline-Baseline-Baseline-Enhanced recycling","(9) Enhanced Recycling"
"demand_unmet",2024,0,"Hyperbolic r0.03","Ambitious-Baseline-Baseline-Baseline-Enhanced recycling","(9) Enhanced Recycling"
"demand_unmet",2025,0,"Hyperbolic r0.03","Ambitious-Baseline-Baseline-Baseline-Enhanced recycling","(9) Enhanced Recycling"
"demand_unmet",2026,0,"Hyperbolic r0.03","Ambitious-Baseline-Baseline-Baseline-Enhanced recycling","(9) Enhanced Recycling"
"demand_unmet",2027,0,"Hyperbolic r0.03","Ambitious-Baseline-Baseline-Baseline-Enhanced recycling","(9) Enhanced Recycling"
"demand_unmet",2028,0,"Hyperbolic r0.03","Ambitious-Baseline-Baseline-Baseline-Enhanced recycling","(9) Enhanced Recycling"
"demand_unmet",2029,0,"Hyperbolic r0.03","Ambitious-Baseline-Baseline-Baseline-Enhanced recycling","(9) Enhanced Recycling"
"demand_unmet",2030,0,"Hyperbolic r0.03","Ambitious-Baseline-Baseline-Baseline-Enhanced recycling","(9) Enhanced Recycling"
"demand_unmet",2031,0,"Hyperbolic r0.03","Ambitious-Baseline-Baseline-Baseline-Enhanced recycling","(9) Enhanced Recycling"
"demand_unmet",2032,0,"Hyperbolic r0.03","Ambitious-Baseline-Baseline-Baseline-Enhanced recycling","(9) Enhanced Recycling"
"demand_unmet",2033,0,"Hyperbolic r0.03","Ambitious-Baseline-Baseline-Baseline-Enhanced recycling","(9) Enhanced Recycling"
"demand_unmet",2034,0,"Hyperbolic r0.03","Ambitious-Baseline-Baseline-Baseline-Enhanced recycling","(9) Enhanced Recycling"
"demand_unmet",2035,0,"Hyperbolic r0.03","Ambitious-Baseline-Baseline-Baseline-Enhanced recycling","(9) Enhanced Recycling"
"demand_unmet",2036,0,"Hyperbolic r0.03","Ambitious-Baseline-Baseline-Baseline-Enhanced recycling","(9) Enhanced Recycling"
"demand_unmet",2037,0,"Hyperbolic r0.03","Ambitious-Baseline-Baseline-Baseline-Enhanced recycling","(9) Enhanced Recycling"
"demand_unmet",2038,0,"Hyperbolic r0.03","Ambitious-Baseline-Baseline-Baseline-Enhanced recycling","(9) Enhanced Recycling"
"demand_unmet",2039,0,"Hyperbolic r0.03","Ambitious-Baseline-Baseline-Baseline-Enhanced recycling","(9) Enhanced Recycling"
"demand_unmet",2040,0,"Hyperbolic r0.03","Ambitious-Baseline-Baseline-Baseline-Enhanced recycling","(9) Enhanced Recycling"
"demand_unmet",2041,0,"Hyperbolic r0.03","Ambitious-Baseline-Baseline-Baseline-Enhanced recycling","(9) Enhanced Recycling"
"demand_unmet",2042,0,"Hyperbolic r0.03","Ambitious-Baseline-Baseline-Baseline-Enhanced recycling","(9) Enhanced Recycling"
"demand_unmet",2043,0.838886549669951,"Hyperbolic r0.03","Ambitious-Baseline-Baseline-Baseline-Enhanced recycling","(9) Enhanced Recycling"
"demand_unmet",2044,0,"Hyperbolic r0.03","Ambitious-Baseline-Baseline-Baseline-Enhanced recycling","(9) Enhanced Recycling"
"demand_unmet",2045,0,"Hyperbolic r0.03","Ambitious-Baseline-Baseline-Baseline-Enhanced recycling","(9) Enhanced Recycling"
"demand_unmet",2046,0,"Hyperbolic r0.03","Ambitious-Baseline-Baseline-Baseline-Enhanced recycling","(9) Enhanced Recycling"
"demand_unmet",2047,0,"Hyperbolic r0.03","Ambitious-Baseline-Baseline-Baseline-Enhanced recycling","(9) Enhanced Recycling"
"demand_unmet",2048,0,"Hyperbolic r0.03","Ambitious-Baseline-Baseline-Baseline-Enhanced recycling","(9) Enhanced Recycling"
"demand_unmet",2049,0,"Hyperbolic r0.03","Ambitious-Baseline-Baseline-Baseline-Enhanced recycling","(9) Enhanced Recycling"
"demand_unmet",2050,0,"Hyperbolic r0.03","Ambitious-Baseline-Baseline-Baseline-Enhanced recycling","(9) Enhanced Recycling"
"demand_unmet",2051,0,"Hyperbolic r0.03","Ambitious-Baseline-Baseline-Baseline-Enhanced recycling","(9) Enhanced Recycling"
"demand_unmet",2052,0,"Hyperbolic r0.03","Ambitious-Baseline-Baseline-Baseline-Enhanced recycling","(9) Enhanced Recycling"
"demand_unmet",2053,0,"Hyperbolic r0.03","Ambitious-Baseline-Baseline-Baseline-Enhanced recycling","(9) Enhanced Recycling"
"demand_unmet",2054,0,"Hyperbolic r0.03","Ambitious-Baseline-Baseline-Baseline-Enhanced recycling","(9) Enhanced Recycling"
"demand_unmet",2055,0,"Hyperbolic r0.03","Ambitious-Baseline-Baseline-Baseline-Enhanced recycling","(9) Enhanced Recycling"
"demand_unmet",2056,0,"Hyperbolic r0.03","Ambitious-Baseline-Baseline-Baseline-Enhanced recycling","(9) Enhanced Recycling"
"demand_unmet",2057,0,"Hyperbolic r0.03","Ambitious-Baseline-Baseline-Baseline-Enhanced recycling","(9) Enhanced Recycling"
"demand_unmet",2058,0,"Hyperbolic r0.03","Ambitious-Baseline-Baseline-Baseline-Enhanced recycling","(9) Enhanced Recycling"
"demand_unmet",2059,0,"Hyperbolic r0.03","Ambitious-Baseline-Baseline-Baseline-Enhanced recycling","(9) Enhanced Recycling"
"demand_unmet",2060,0,"Hyperbolic r0.03","Ambitious-Baseline-Baseline-Baseline-Enhanced recycling","(9) Enhanced Recycling"
"demand_unmet",2061,0,"Hyperbolic r0.03","Ambitious-Baseline-Baseline-Baseline-Enhanced recycling","(9) Enhanced Recycling"
"demand_unmet",2062,0,"Hyperbolic r0.03","Ambitious-Baseline-Baseline-Baseline-Enhanced recycling","(9) Enhanced Recycling"
"demand_unmet",2063,0,"Hyperbolic r0.03","Ambitious-Baseline-Baseline-Baseline-Enhanced recycling","(9) Enhanced Recycling"
"demand_unmet",2064,0,"Hyperbolic r0.03","Ambitious-Baseline-Baseline-Baseline-Enhanced recycling","(9) Enhanced Recycling"
"demand_unmet",2065,0,"Hyperbolic r0.03","Ambitious-Baseline-Baseline-Baseline-Enhanced recycling","(9) Enhanced Recycling"
"demand_unmet",2066,0,"Hyperbolic r0.03","Ambitious-Baseline-Baseline-Baseline-Enhanced recycling","(9) Enhanced Recycling"
"demand_unmet",2067,0,"Hyperbolic r0.03","Ambitious-Baseline-Baseline-Baseline-Enhanced recycling","(9) Enhanced Recycling"
"demand_unmet",2068,0,"Hyperbolic r0.03","Ambitious-Baseline-Baseline-Baseline-Enhanced recycling","(9) Enhanced Recycling"
"demand_unmet",2069,0,"Hyperbolic r0.03","Ambitious-Baseline-Baseline-Baseline-Enhanced recycling","(9) Enhanced Recycling"
"demand_unmet",2070,0,"Hyperbolic r0.03","Ambitious-Baseline-Baseline-Baseline-Enhanced recycling","(9) Enhanced Recycling"
"demand_unmet",2022,0,"Hyperbolic r0.03","Ambitious-Baseline-Baseline-Baseline-Enhanced SSPS","(8) Enhanced Repurposing"
"demand_unmet",2023,0,"Hyperbolic r0.03","Ambitious-Baseline-Baseline-Baseline-Enhanced SSPS","(8) Enhanced Repurposing"
"demand_unmet",2024,0,"Hyperbolic r0.03","Ambitious-Baseline-Baseline-Baseline-Enhanced SSPS","(8) Enhanced Repurposing"
"demand_unmet",2025,0,"Hyperbolic r0.03","Ambitious-Baseline-Baseline-Baseline-Enhanced SSPS","(8) Enhanced Repurposing"
"demand_unmet",2026,0,"Hyperbolic r0.03","Ambitious-Baseline-Baseline-Baseline-Enhanced SSPS","(8) Enhanced Repurposing"
"demand_unmet",2027,0,"Hyperbolic r0.03","Ambitious-Baseline-Baseline-Baseline-Enhanced SSPS","(8) Enhanced Repurposing"
"demand_unmet",2028,0,"Hyperbolic r0.03","Ambitious-Baseline-Baseline-Baseline-Enhanced SSPS","(8) Enhanced Repurposing"
"demand_unmet",2029,0,"Hyperbolic r0.03","Ambitious-Baseline-Baseline-Baseline-Enhanced SSPS","(8) Enhanced Repurposing"
"demand_unmet",2030,0,"Hyperbolic r0.03","Ambitious-Baseline-Baseline-Baseline-Enhanced SSPS","(8) Enhanced Repurposing"
"demand_unmet",2031,0,"Hyperbolic r0.03","Ambitious-Baseline-Baseline-Baseline-Enhanced SSPS","(8) Enhanced Repurposing"
"demand_unmet",2032,0,"Hyperbolic r0.03","Ambitious-Baseline-Baseline-Baseline-Enhanced SSPS","(8) Enhanced Repurposing"
"demand_unmet",2033,0,"Hyperbolic r0.03","Ambitious-Baseline-Baseline-Baseline-Enhanced SSPS","(8) Enhanced Repurposing"
"demand_unmet",2034,0,"Hyperbolic r0.03","Ambitious-Baseline-Baseline-Baseline-Enhanced SSPS","(8) Enhanced Repurposing"
"demand_unmet",2035,0,"Hyperbolic r0.03","Ambitious-Baseline-Baseline-Baseline-Enhanced SSPS","(8) Enhanced Repurposing"
"demand_unmet",2036,0,"Hyperbolic r0.03","Ambitious-Baseline-Baseline-Baseline-Enhanced SSPS","(8) Enhanced Repurposing"
"demand_unmet",2037,0,"Hyperbolic r0.03","Ambitious-Baseline-Baseline-Baseline-Enhanced SSPS","(8) Enhanced Repurposing"
"demand_unmet",2038,0,"Hyperbolic r0.03","Ambitious-Baseline-Baseline-Baseline-Enhanced SSPS","(8) Enhanced Repurposing"
"demand_unmet",2039,0,"Hyperbolic r0.03","Ambitious-Baseline-Baseline-Baseline-Enhanced SSPS","(8) Enhanced Repurposing"
"demand_unmet",2040,0,"Hyperbolic r0.03","Ambitious-Baseline-Baseline-Baseline-Enhanced SSPS","(8) Enhanced Repurposing"
"demand_unmet",2041,0,"Hyperbolic r0.03","Ambitious-Baseline-Baseline-Baseline-Enhanced SSPS","(8) Enhanced Repurposing"
"demand_unmet",2042,0,"Hyperbolic r0.03","Ambitious-Baseline-Baseline-Baseline-Enhanced SSPS","(8) Enhanced Repurposing"
"demand_unmet",2043,0,"Hyperbolic r0.03","Ambitious-Baseline-Baseline-Baseline-Enhanced SSPS","(8) Enhanced Repurposing"
"demand_unmet",2044,0,"Hyperbolic r0.03","Ambitious-Baseline-Baseline-Baseline-Enhanced SSPS","(8) Enhanced Repurposing"
"demand_unmet",2045,0,"Hyperbolic r0.03","Ambitious-Baseline-Baseline-Baseline-Enhanced SSPS","(8) Enhanced Repurposing"
"demand_unmet",2046,0,"Hyperbolic r0.03","Ambitious-Baseline-Baseline-Baseline-Enhanced SSPS","(8) Enhanced Repurposing"
"demand_unmet",2047,0,"Hyperbolic r0.03","Ambitious-Baseline-Baseline-Baseline-Enhanced SSPS","(8) Enhanced Repurposing"
"demand_unmet",2048,0,"Hyperbolic r0.03","Ambitious-Baseline-Baseline-Baseline-Enhanced SSPS","(8) Enhanced Repurposing"
"demand_unmet",2049,0,"Hyperbolic r0.03","Ambitious-Baseline-Baseline-Baseline-Enhanced SSPS","(8) Enhanced Repurposing"
"demand_unmet",2050,0,"Hyperbolic r0.03","Ambitious-Baseline-Baseline-Baseline-Enhanced SSPS","(8) Enhanced Repurposing"
"demand_unmet",2051,0,"Hyperbolic r0.03","Ambitious-Baseline-Baseline-Baseline-Enhanced SSPS","(8) Enhanced Repurposing"
"demand_unmet",2052,0,"Hyperbolic r0.03","Ambitious-Baseline-Baseline-Baseline-Enhanced SSPS","(8) Enhanced Repurposing"
"demand_unmet",2053,0,"Hyperbolic r0.03","Ambitious-Baseline-Baseline-Baseline-Enhanced SSPS","(8) Enhanced Repurposing"
"demand_unmet",2054,0,"Hyperbolic r0.03","Ambitious-Baseline-Baseline-Baseline-Enhanced SSPS","(8) Enhanced Repurposing"
"demand_unmet",2055,0,"Hyperbolic r0.03","Ambitious-Baseline-Baseline-Baseline-Enhanced SSPS","(8) Enhanced Repurposing"
"demand_unmet",2056,0,"Hyperbolic r0.03","Ambitious-Baseline-Baseline-Baseline-Enhanced SSPS","(8) Enhanced Repurposing"
"demand_unmet",2057,0,"Hyperbolic r0.03","Ambitious-Baseline-Baseline-Baseline-Enhanced SSPS","(8) Enhanced Repurposing"
"demand_unmet",2058,0,"Hyperbolic r0.03","Ambitious-Baseline-Baseline-Baseline-Enhanced SSPS","(8) Enhanced Repurposing"
"demand_unmet",2059,0,"Hyperbolic r0.03","Ambitious-Baseline-Baseline-Baseline-Enhanced SSPS","(8) Enhanced Repurposing"
"demand_unmet",2060,0,"Hyperbolic r0.03","Ambitious-Baseline-Baseline-Baseline-Enhanced SSPS","(8) Enhanced Repurposing"
"demand_unmet",2061,0,"Hyperbolic r0.03","Ambitious-Baseline-Baseline-Baseline-Enhanced SSPS","(8) Enhanced Repurposing"
"demand_unmet",2062,0,"Hyperbolic r0.03","Ambitious-Baseline-Baseline-Baseline-Enhanced SSPS","(8) Enhanced Repurposing"
"demand_unmet",2063,0,"Hyperbolic r0.03","Ambitious-Baseline-Baseline-Baseline-Enhanced SSPS","(8) Enhanced Repurposing"
"demand_unmet",2064,0,"Hyperbolic r0.03","Ambitious-Baseline-Baseline-Baseline-Enhanced SSPS","(8) Enhanced Repurposing"
"demand_unmet",2065,0,"Hyperbolic r0.03","Ambitious-Baseline-Baseline-Baseline-Enhanced SSPS","(8) Enhanced Repurposing"
"demand_unmet",2066,0,"Hyperbolic r0.03","Ambitious-Baseline-Baseline-Baseline-Enhanced SSPS","(8) Enhanced Repurposing"
"demand_unmet",2067,0,"Hyperbolic r0.03","Ambitious-Baseline-Baseline-Baseline-Enhanced SSPS","(8) Enhanced Repurposing"
"demand_unmet",2068,11.4380044926298,"Hyperbolic r0.03","Ambitious-Baseline-Baseline-Baseline-Enhanced SSPS","(8) Enhanced Repurposing"
"demand_unmet",2069,36.7416964949361,"Hyperbolic r0.03","Ambitious-Baseline-Baseline-Baseline-Enhanced SSPS","(8) Enhanced Repurposing"
"demand_unmet",2070,79.8265779811221,"Hyperbolic r0.03","Ambitious-Baseline-Baseline-Baseline-Enhanced SSPS","(8) Enhanced Repurposing"
"demand_unmet",2022,0,"Hyperbolic r0.03","Ambitious-Baseline-Baseline-Baseline-USA Recycling","(10) US Recycling"
"demand_unmet",2023,0,"Hyperbolic r0.03","Ambitious-Baseline-Baseline-Baseline-USA Recycling","(10) US Recycling"
"demand_unmet",2024,0,"Hyperbolic r0.03","Ambitious-Baseline-Baseline-Baseline-USA Recycling","(10) US Recycling"
"demand_unmet",2025,0,"Hyperbolic r0.03","Ambitious-Baseline-Baseline-Baseline-USA Recycling","(10) US Recycling"
"demand_unmet",2026,0,"Hyperbolic r0.03","Ambitious-Baseline-Baseline-Baseline-USA Recycling","(10) US Recycling"
"demand_unmet",2027,0,"Hyperbolic r0.03","Ambitious-Baseline-Baseline-Baseline-USA Recycling","(10) US Recycling"
"demand_unmet",2028,0,"Hyperbolic r0.03","Ambitious-Baseline-Baseline-Baseline-USA Recycling","(10) US Recycling"
"demand_unmet",2029,0,"Hyperbolic r0.03","Ambitious-Baseline-Baseline-Baseline-USA Recycling","(10) US Recycling"
"demand_unmet",2030,0,"Hyperbolic r0.03","Ambitious-Baseline-Baseline-Baseline-USA Recycling","(10) US Recycling"
"demand_unmet",2031,0,"Hyperbolic r0.03","Ambitious-Baseline-Baseline-Baseline-USA Recycling","(10) US Recycling"
"demand_unmet",2032,0,"Hyperbolic r0.03","Ambitious-Baseline-Baseline-Baseline-USA Recycling","(10) US Recycling"
"demand_unmet",2033,0,"Hyperbolic r0.03","Ambitious-Baseline-Baseline-Baseline-USA Recycling","(10) US Recycling"
"demand_unmet",2034,0,"Hyperbolic r0.03","Ambitious-Baseline-Baseline-Baseline-USA Recycling","(10) US Recycling"
"demand_unmet",2035,0,"Hyperbolic r0.03","Ambitious-Baseline-Baseline-Baseline-USA Recycling","(10) US Recycling"
"demand_unmet",2036,0,"Hyperbolic r0.03","Ambitious-Baseline-Baseline-Baseline-USA Recycling","(10) US Recycling"
"demand_unmet",2037,0,"Hyperbolic r0.03","Ambitious-Baseline-Baseline-Baseline-USA Recycling","(10) US Recycling"
"demand_unmet",2038,0,"Hyperbolic r0.03","Ambitious-Baseline-Baseline-Baseline-USA Recycling","(10) US Recycling"
"demand_unmet",2039,0,"Hyperbolic r0.03","Ambitious-Baseline-Baseline-Baseline-USA Recycling","(10) US Recycling"
"demand_unmet",2040,0,"Hyperbolic r0.03","Ambitious-Baseline-Baseline-Baseline-USA Recycling","(10) US Recycling"
"demand_unmet",2041,0,"Hyperbolic r0.03","Ambitious-Baseline-Baseline-Baseline-USA Recycling","(10) US Recycling"
"demand_unmet",2042,0,"Hyperbolic r0.03","Ambitious-Baseline-Baseline-Baseline-USA Recycling","(10) US Recycling"
"demand_unmet",2043,0,"Hyperbolic r0.03","Ambitious-Baseline-Baseline-Baseline-USA Recycling","(10) US Recycling"
"demand_unmet",2044,0,"Hyperbolic r0.03","Ambitious-Baseline-Baseline-Baseline-USA Recycling","(10) US Recycling"
"demand_unmet",2045,0,"Hyperbolic r0.03","Ambitious-Baseline-Baseline-Baseline-USA Recycling","(10) US Recycling"
"demand_unmet",2046,0,"Hyperbolic r0.03","Ambitious-Baseline-Baseline-Baseline-USA Recycling","(10) US Recycling"
