"variable","t","value","Scenario","name","recyc"
"demand_unmet",2022,0,"Results/Optimization/DemandRecyclingLoop/Ambitious-Baseline-Baseline-Baseline-Recycling percentage 15","Reference",0.15
"demand_unmet",2023,0,"Results/Optimization/DemandRecyclingLoop/Ambitious-Baseline-Baseline-Baseline-Recycling percentage 15","Reference",0.15
"demand_unmet",2024,0,"Results/Optimization/DemandRecyclingLoop/Ambitious-Baseline-Baseline-Baseline-Recycling percentage 15","Reference",0.15
"demand_unmet",2025,0,"Results/Optimization/DemandRecyclingLoop/Ambitious-Baseline-Baseline-Baseline-Recycling percentage 15","Reference",0.15
"demand_unmet",2026,0,"Results/Optimization/DemandRecyclingLoop/Ambitious-Baseline-Baseline-Baseline-Recycling percentage 15","Reference",0.15
"demand_unmet",2027,0,"Results/Optimization/DemandRecyclingLoop/Ambitious-Baseline-Baseline-Baseline-Recycling percentage 15","Reference",0.15
"demand_unmet",2028,0,"Results/Optimization/DemandRecyclingLoop/Ambitious-Baseline-Baseline-Baseline-Recycling percentage 15","Reference",0.15
"demand_unmet",2029,0,"Results/Optimization/DemandRecyclingLoop/Ambitious-Baseline-Baseline-Baseline-Recycling percentage 15","Reference",0.15
"demand_unmet",2030,0,"Results/Optimization/DemandRecyclingLoop/Ambitious-Baseline-Baseline-Baseline-Recycling percentage 15","Reference",0.15
"demand_unmet",2031,0,"Results/Optimization/DemandRecyclingLoop/Ambitious-Baseline-Baseline-Baseline-Recycling percentage 15","Reference",0.15
"demand_unmet",2032,0,"Results/Optimization/DemandRecyclingLoop/Ambitious-Baseline-Baseline-Baseline-Recycling percentage 15","Reference",0.15
"demand_unmet",2033,0,"Results/Optimization/DemandRecyclingLoop/Ambitious-Baseline-Baseline-Baseline-Recycling percentage 15","Reference",0.15
"demand_unmet",2034,0,"Results/Optimization/DemandRecyclingLoop/Ambitious-Baseline-Baseline-Baseline-Recycling percentage 15","Reference",0.15
"demand_unmet",2035,0,"Results/Optimization/DemandRecyclingLoop/Ambitious-Baseline-Baseline-Baseline-Recycling percentage 15","Reference",0.15
"demand_unmet",2036,0,"Results/Optimization/DemandRecyclingLoop/Ambitious-Baseline-Baseline-Baseline-Recycling percentage 15","Reference",0.15
"demand_unmet",2037,0,"Results/Optimization/DemandRecyclingLoop/Ambitious-Baseline-Baseline-Baseline-Recycling percentage 15","Reference",0.15
"demand_unmet",2038,0,"Results/Optimization/DemandRecyclingLoop/Ambitious-Baseline-Baseline-Baseline-Recycling percentage 15","Reference",0.15
"demand_unmet",2039,0,"Results/Optimization/DemandRecyclingLoop/Ambitious-Baseline-Baseline-Baseline-Recycling percentage 15","Reference",0.15
"demand_unmet",2040,0,"Results/Optimization/DemandRecyclingLoop/Ambitious-Baseline-Baseline-Baseline-Recycling percentage 15","Reference",0.15
"demand_unmet",2041,0,"Results/Optimization/DemandRecyclingLoop/Ambitious-Baseline-Baseline-Baseline-Recycling percentage 15","Reference",0.15
"demand_unmet",2042,0,"Results/Optimization/DemandRecyclingLoop/Ambitious-Baseline-Baseline-Baseline-Recycling percentage 15","Reference",0.15
"demand_unmet",2043,0,"Results/Optimization/DemandRecyclingLoop/Ambitious-Baseline-Baseline-Baseline-Recycling percentage 15","Reference",0.15
"demand_unmet",2044,0,"Results/Optimization/DemandRecyclingLoop/Ambitious-Baseline-Baseline-Baseline-Recycling percentage 15","Reference",0.15
"demand_unmet",2045,0,"Results/Optimization/DemandRecyclingLoop/Ambitious-Baseline-Baseline-Baseline-Recycling percentage 15","Reference",0.15
"demand_unmet",2046,0,"Results/Optimization/DemandRecyclingLoop/Ambitious-Baseline-Baseline-Baseline-Recycling percentage 15","Reference",0.15
"demand_unmet",2047,0,"Results/Optimization/DemandRecyclingLoop/Ambitious-Baseline-Baseline-Baseline-Recycling percentage 15","Reference",0.15
"demand_unmet",2048,0,"Results/Optimization/DemandRecyclingLoop/Ambitious-Baseline-Baseline-Baseline-Recycling percentage 15","Reference",0.15
"demand_unmet",2049,0,"Results/Optimization/DemandRecyclingLoop/Ambitious-Baseline-Baseline-Baseline-Recycling percentage 15","Reference",0.15
"demand_unmet",2050,0,"Results/Optimization/DemandRecyclingLoop/Ambitious-Baseline-Baseline-Baseline-Recycling percentage 15","Reference",0.15
"demand_unmet",2051,0,"Results/Optimization/DemandRecyclingLoop/Ambitious-Baseline-Baseline-Baseline-Recycling percentage 15","Reference",0.15
"demand_unmet",2052,0,"Results/Optimization/DemandRecyclingLoop/Ambitious-Baseline-Baseline-Baseline-Recycling percentage 15","Reference",0.15
"demand_unmet",2053,0,"Results/Optimization/DemandRecyclingLoop/Ambitious-Baseline-Baseline-Baseline-Recycling percentage 15","Reference",0.15
"demand_unmet",2054,0,"Results/Optimization/DemandRecyclingLoop/Ambitious-Baseline-Baseline-Baseline-Recycling percentage 15","Reference",0.15
"demand_unmet",2055,0,"Results/Optimization/DemandRecyclingLoop/Ambitious-Baseline-Baseline-Baseline-Recycling percentage 15","Reference",0.15
"demand_unmet",2056,0,"Results/Optimization/DemandRecyclingLoop/Ambitious-Baseline-Baseline-Baseline-Recycling percentage 15","Reference",0.15
"demand_unmet",2057,0,"Results/Optimization/DemandRecyclingLoop/Ambitious-Baseline-Baseline-Baseline-Recycling percentage 15","Reference",0.15
"demand_unmet",2058,0,"Results/Optimization/DemandRecyclingLoop/Ambitious-Baseline-Baseline-Baseline-Recycling percentage 15","Reference",0.15
"demand_unmet",2059,0,"Results/Optimization/DemandRecyclingLoop/Ambitious-Baseline-Baseline-Baseline-Recycling percentage 15","Reference",0.15
"demand_unmet",2060,0,"Results/Optimization/DemandRecyclingLoop/Ambitious-Baseline-Baseline-Baseline-Recycling percentage 15","Reference",0.15
"demand_unmet",2061,0,"Results/Optimization/DemandRecyclingLoop/Ambitious-Baseline-Baseline-Baseline-Recycling percentage 15","Reference",0.15
"demand_unmet",2062,0,"Results/Optimization/DemandRecyclingLoop/Ambitious-Baseline-Baseline-Baseline-Recycling percentage 15","Reference",0.15
"demand_unmet",2063,0,"Results/Optimization/DemandRecyclingLoop/Ambitious-Baseline-Baseline-Baseline-Recycling percentage 15","Reference",0.15
"demand_unmet",2064,0,"Results/Optimization/DemandRecyclingLoop/Ambitious-Baseline-Baseline-Baseline-Recycling percentage 15","Reference",0.15
"demand_unmet",2065,8.64941542367487,"Results/Optimization/DemandRecyclingLoop/Ambitious-Baseline-Baseline-Baseline-Recycling percentage 15","Reference",0.15
